GrandPrix,Driver,Car,Time
Bahrain,Zhou Guanyu,Alfa Romeo Ferrari,01:34.0
Saudi Arabia,Max Verstappen,Red Bull Racing Honda RBPT,01:31.9
Australia,Sergio Perez,Red Bull Racing Honda RBPT,01:20.2
Azerbaijan,George Russell,Mercedes,01:43.4
Miami,Max Verstappen,Red Bull Racing Honda RBPT,01:29.7
Spain,Max Verstappen,Red Bull Racing Honda RBPT,01:16.3
Canada,Sergio Perez,Red Bull Racing Honda RBPT,01:14.5
Austria,Max Verstappen,Red Bull Racing Honda RBPT,01:07.0
Great Britain,Max Verstappen,Red Bull Racing Honda RBPT,01:30.3
Hungary,Max Verstappen,Red Bull Racing Honda RBPT,01:20.5
Belgium,Lewis Hamilton,Mercedes,01:47.3
Italy,Oscar Piastri,McLaren Mercedes,01:25.1
Singapore,Lewis Hamilton,Mercedes,01:35.9
Japan,Max Verstappen,Red Bull Racing Honda RBPT,01:34.2
Qatar,Max Verstappen,Red Bull Racing Honda RBPT,01:24.3
United States,Yuki Tsunoda,AlphaTauri Honda RBPT,01:38.1
Mexico,Lewis Hamilton,Mercedes,01:21.3
Brazil,Lando Norris,McLaren Mercedes,01:12.5
Las Vegas,Oscar Piastri,McLaren Mercedes,01:35.5
Abu Dhabi,Max Verstappen,Red Bull Racing Honda RBPT,01:27.0
