Grand Prix,Date,Winner,Points,Car,Laps,Time
Bahrain,5-Mar-23,Max Verstappen,25,Red Bull Racing Honda RBPT,57,1:33:57
Saudi Arabia,19-Mar-23,Sergio Perez,25,Red Bull Racing Honda RBPT,50,1:21:15
Australia,2-Apr-23,Max Verstappen,25,Red Bull Racing Honda RBPT,58,2:32:38
Azerbaijan,30-Apr-23,Sergio Perez,25,Red Bull Racing Honda RBPT,51,1:32:42
Miami,7-May-23,Max Verstappen,25,Red Bull Racing Honda RBPT,57,1:27:38
Monaco,28-May-23,Max Verstappen,25,Red Bull Racing Honda RBPT,78,1:48:52
Spain,4-Jun-23,Max Verstappen,25,Red Bull Racing Honda RBPT,66,1:27:58
Canada,18-Jun-23,Max Verstappen,25,Red Bull Racing Honda RBPT,70,1:33:58
Austria,2-Jul-23,Max Verstappen,25,Red Bull Racing Honda RBPT,71,1:25:34
Great Britain,9-Jul-23,Max Verstappen,25,Red Bull Racing Honda RBPT,52,1:25:17
Hungary,23-Jul-23,Max Verstappen,25,Red Bull Racing Honda RBPT,70,1:38:09
Belgium,30-Jul-23,Max Verstappen,25,Red Bull Racing Honda RBPT,44,1:22:30
Netherlands,27-Aug-23,Max Verstappen,25,Red Bull Racing Honda RBPT,72,2:24:04
Italy,3-Sep-23,Max Verstappen,25,Red Bull Racing Honda RBPT,51,1:13:41
Singapore,17-Sep-23,Sergio Perez,25,Ferrari,62,1:46:37
Japan,24-Sep-23,Max Verstappen,25,Red Bull Racing Honda RBPT,53,1:30:58
Qatar,8-Oct-23,Max Verstappen,25,Red Bull Racing Honda RBPT,57,1:27:39
United States,22-Oct-23,Max Verstappen,25,Red Bull Racing Honda RBPT,56,1:35:21
Mexico,29-Oct-23,Max Verstappen,25,Red Bull Racing Honda RBPT,71,2:02:31
Brazil,5-Nov-23,Max Verstappen,25,Red Bull Racing Honda RBPT,71,1:56:49
Las Vegas,18-Nov-23,Max Verstappen,25,Red Bull Racing Honda RBPT,50,1:29:08
Abu Dhabi,26-Nov-23,Max Verstappen,25,Red Bull Racing Honda RBPT,58,1:27:03
  ,,,,,,
